"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_84086","c_1_2_2733","SPP1",2733,855.2875,2539.925,0,234.95175,-3158.1865,0,"e",-1.87167353693937,1.0004227573403,"1","e"
"t_1_2_84098","c_1_2_2733","S100A6",2733,776.225,2541.425,0,220.7205,-3158.4565,0,"e",-2.21418061794464,0.861389110646557,"1","e"
"t_1_2_84101","c_1_2_2733","NEAT1",2733,812.98,2541.84,0,227.3364,-3158.5312,0,"e",-0.492345148800258,0.999717773003081,"1","e"
"t_1_2_84107","c_1_2_2733","CD44",2733,790.36,2542.26,0,223.2648,-3158.6068,0,"e",-0.521071323871175,0.954269379138602,"1","e"
"t_1_2_84115","c_1_2_2733","CXCL9",2733,863.4333,2544.067,0,236.417994,-3158.93206,0,"e",-3.61843992839932,0.398716472113144,"1","e"
"t_1_2_84123","c_1_2_2733","IL12RB2",2733,852.4834,2544.85,0,234.447012,-3159.073,0,"e",-0.83867873432655,1.09102185533536,"1","e"
"t_1_2_84125","c_1_2_2733","MT2A",2733,799.3666,2544.811,0,224.885988,-3159.06598,0,"e",-0.988192187430357,0.99986397510535,"1","e"
"t_1_2_84130","c_1_2_2733","MALAT1",2733,846.675,2545.2,0,233.4015,-3159.136,0,"e",-0.470154514681536,1.03390245700135,"1","e"
"t_1_2_84141","c_1_2_2733","GPX1",2733,805.8571,2546.121,0,226.054278,-3159.30178,0,"e",0,1.13830089417936,"1","e"
"t_1_2_84142","c_1_2_2733","S100A6",2733,791.4429,2546.186,0,223.459722,-3159.31348,0,"e",-2.21418061794464,0.665328350604496,"1","e"
"t_1_2_84143","c_1_2_2733","MALAT1",2733,846.2714,2546.029,0,233.328852,-3159.28522,0,"e",-0.470154514681536,1.02147383243343,"1","e"
"t_1_2_84158","c_1_2_2733","S100A10",2733,876.1899,2546.99,0,238.714182,-3159.4582,0,"e",-1.11002422070301,1.00038318117771,"1","e"
"t_1_2_84170","c_1_2_2733","TTR",2733,874.3143,2547.957,0,238.376574,-3159.63226,0,"e",-1.51850102265476,1.03645429329047,"1","e"
"t_1_2_84180","c_1_2_2733","CXCL1",2733,831.175,2548.95,0,230.6115,-3159.811,0,"e",0,1.37171845682926,"1","e"
"t_1_2_84199","c_1_2_2733","CXCL2",2733,800.9,2550.414,0,225.162,-3160.07452,0,"e",0,0.999841454237498,"1","e"
"t_1_2_84229","c_1_2_2733","MALAT1",2733,840.05,2552.634,0,232.209,-3160.47412,0,"e",-0.470154514681536,1.03314498112995,"1","e"
"t_1_2_84234","c_1_2_2733","MZT2A",2733,838.2833,2552.8,0,231.890994,-3160.504,0,"e",-1.39001825857841,1.07141546841726,"1","e"
"t_1_2_84244","c_1_2_2733","TGFBR2",2733,768.56,2553.78,0,219.3408,-3160.6804,0,"e",-2.15277240903106,0.237810721625699,"1","e"
"t_1_2_84257","c_1_2_2733","HLA-C",2733,875.4615,2554.669,0,238.58307,-3160.84042,0,"e",-1.19147033105972,1.01455501788654,"1","e"
"t_1_2_84267","c_1_2_2733","HLA-B",2733,850.8,2555.855,0,234.144,-3161.0539,0,"e",-1.31591637617107,1.09537223257335,"1","e"
"t_1_2_84284","c_1_2_2733","SQSTM1",2733,856.3,2557.16,0,235.134,-3161.2888,0,"e",-0.768328113440665,0.896169155272649,"1","e"
"t_1_2_84288","c_1_2_2733","S100A6",2733,856.82,2557.56,0,235.2276,-3161.3608,0,"e",-2.21418061794464,0.876828028328484,"1","e"
"t_1_2_84311","c_1_2_2733","HLA-B",2733,847.28,2558.94,0,233.5104,-3161.6092,0,"e",-1.31591637617107,1.07846415634133,"1","e"
